Date,Symbol,Open,High,Low,Last,Close,Turnover,Trades
06-10-2022,ADANIENT,3270,3318.8,3208.05,3287,3285,9.30327E+14,106184
07-10-2022,ADANIENT,3280,3310.95,3228.15,3279,3277.6,6.31138E+14,65403
10-10-2022,ADANIENT,3234,3278.75,3214.35,3253,3246.25,5.17061E+14,64438
11-10-2022,ADANIENT,3257.55,3338,3249,3274,3273.95,8.39555E+14,98321
12-10-2022,ADANIENT,3297,3297,3145,3228,3223.65,9.5353E+14,123910
13-10-2022,ADANIENT,3218,3262.8,3189,3228,3233.65,5.93731E+14,67694
14-10-2022,ADANIENT,3272,3305,3194.85,3201,3209.5,4.35969E+14,50469
17-10-2022,ADANIENT,3211,3235,3136.1,3225,3212.6,6.35043E+14,65568
18-10-2022,ADANIENT,3249,3298,3226.1,3289,3284.3,5.34475E+14,51032
19-10-2022,ADANIENT,3300,3310,3259.65,3277,3277.25,4.5943E+14,45073
20-10-2022,ADANIENT,3260,3365,3245,3361.05,3357.1,7.31681E+14,66573
21-10-2022,ADANIENT,3374.9,3382,3287,3309.75,3311.9,3.73837E+14,41865
24-10-2022,ADANIENT,3325,3340.1,3287.4,3320,3309.8,8.23565E+13,9916
25-10-2022,ADANIENT,3321.95,3345,3294,3295.05,3300.5,2.91361E+14,35025
27-10-2022,ADANIENT,3319.85,3355,3297,3320,3325,3.6778E+14,37985
28-10-2022,ADANIENT,3322,3387.95,3297.65,3325,3323.3,4.41719E+14,48185
31-10-2022,ADANIENT,3339.95,3360,3326.1,3350,3347.45,1.92493E+14,30283
01-11-2022,ADANIENT,3361.9,3607.45,3352,3579.8,3575.7,1.54608E+15,162903
02-11-2022,ADANIENT,3580,3625.15,3526,3570.5,3580.7,9.06188E+14,103751
03-11-2022,ADANIENT,3550,3614.7,3542.45,3590,3590.4,4.57553E+14,56803
04-11-2022,ADANIENT,3642,3849.8,3566.75,3825.9,3833.25,2.28124E+15,251172
07-11-2022,ADANIENT,3852.45,4013.7,3820,3953.35,3960.6,2.36065E+15,261119
09-11-2022,ADANIENT,3977,4048,3943.05,3982.6,3997.2,1.49578E+15,148664
10-11-2022,ADANIENT,3995,4030,3962.15,3999,3992.25,9.24925E+14,94415
11-11-2022,ADANIENT,4040,4048.95,3975.15,4006,4008.85,5.92775E+14,69136
14-11-2022,ADANIENT,3999,4078,3990,4024.1,4022.55,7.27606E+14,76145
15-11-2022,ADANIENT,4025.05,4065,4022,4064.95,4057.8,4.30722E+14,49890
16-11-2022,ADANIENT,4057.3,4096,3863.55,3975,3956.6,1.21778E+15,120771
17-11-2022,ADANIENT,3970,4033,3900,4017,4018.15,9.01129E+14,100741
18-11-2022,ADANIENT,4028.35,4043,3984,4020,4019.8,5.78248E+14,61375
21-11-2022,ADANIENT,4019.95,4019.95,3921.95,3999.5,4001.85,5.93649E+14,63301
22-11-2022,ADANIENT,4001.85,4056,3988,4034.9,4034,6.87412E+14,61621
23-11-2022,ADANIENT,4050,4061.85,3873,3897,3903.3,1.13083E+15,119633
24-11-2022,ADANIENT,3910,3935,3821,3930,3921.1,1.08616E+15,111478
25-11-2022,ADANIENT,3929,3949.9,3845.3,3900.05,3901.1,9.7622E+14,91106
28-11-2022,ADANIENT,3899.4,3925,3871.4,3884.45,3886.15,4.36559E+14,42474
29-11-2022,ADANIENT,3885,3915,3864.05,3870,3878.4,5.88577E+14,46398
30-11-2022,ADANIENT,3897.8,3939.9,3867,3924.7,3917.9,7.68476E+14,62047
01-12-2022,ADANIENT,3937.5,3944.95,3902.45,3907.4,3915.1,3.70909E+14,35157
02-12-2022,ADANIENT,3905,3963.8,3885,3915,3922.5,5.0911E+14,53440
05-12-2022,ADANIENT,3928.9,3939,3810.05,3930.2,3930.4,9.27167E+14,88778
06-12-2022,ADANIENT,3920,4057,3909,4026,4031.8,1.18893E+15,121859
07-12-2022,ADANIENT,4031,4057.9,3984.55,3998,3999.3,5.05032E+14,63713
08-12-2022,ADANIENT,4010,4045,4003.35,4023.35,4025,3.60468E+14,43843
09-12-2022,ADANIENT,4044,4094,3941.5,3995.6,3996.8,8.56238E+14,79946
12-12-2022,ADANIENT,3997,4031.9,3968.75,4010.15,4016.7,3.21695E+14,38510
13-12-2022,ADANIENT,4027.8,4072,4011.6,4060,4060.2,4.91954E+14,47587
14-12-2022,ADANIENT,4076,4092.05,4040,4049,4055.8,4.53321E+14,42940
15-12-2022,ADANIENT,4055.8,4073.05,4025,4025.25,4043.75,3.50953E+14,37452
16-12-2022,ADANIENT,4018.9,4047.9,3944.05,3983,3980.8,6.38379E+14,55399
19-12-2022,ADANIENT,3988,4104,3971.45,4101,4075.3,6.62397E+14,53127
20-12-2022,ADANIENT,4095,4172,4066.4,4165,4165.3,1.55868E+15,131294
21-12-2022,ADANIENT,4175,4190,3883.25,3909,3901.95,1.43619E+15,167340
22-12-2022,ADANIENT,3948,3948,3817.05,3856,3868.55,1.11648E+15,134348
23-12-2022,ADANIENT,3822,3848,3616.8,3650.05,3642.2,1.13261E+15,140276
26-12-2022,ADANIENT,3653,3744.9,3620,3709,3716.75,8.0257E+14,99922
27-12-2022,ADANIENT,3732.45,3797.9,3695.05,3767.15,3769.65,6.75164E+14,72966
28-12-2022,ADANIENT,3756.05,3825,3745,3797.95,3797.7,5.21528E+14,58991
29-12-2022,ADANIENT,3790,3825,3748.1,3815.35,3810.6,5.80612E+14,67660
30-12-2022,ADANIENT,3829.7,3898,3822.05,3850,3858.35,5.89856E+14,59598
02-01-2023,ADANIENT,3870,3874,3822.55,3843,3841.2,3.55173E+14,42124
03-01-2023,ADANIENT,3841.9,3852.85,3791,3828.1,3830.95,3.0644E+14,38042
04-01-2023,ADANIENT,3839,3874.95,3803.6,3822,3827.05,3.94265E+14,47586
